mal_id,type,genres,studios,themes,demographics,source,rating,episodes,season,y_score,y_members,main_characters,supporting_characters,recommendation_mal_id,staff
9332,OVA,"['Action', 'Adventure', 'Fantasy']",['Kinema Citrus'],['Video Game'],[],Original,PG-13 - Teens 13 or older,3.0,winter,7.11,42217,5,6,"[11757, 11759, 39597, 5681, 177, 467]","[203, 366, 610, 1955, 3158, 3448, 5072, 5316, 6080, 8102, 9133, 9316, 9326, 10927, 10928, 15911, 15949, 16747, 17625, 19996, 20881, 21017, 25501, 30689, 33969, 34833, 35935, 35937, 37739, 37760, 38060, 38366, 38843, 38875, 38888, 39239, 39347, 39602, 40115, 41242, 41520, 42315, 44655, 46971, 47323, 47519, 47646, 48345, 49022, 49448, 50460, 50479, 51999, 55705, 56567, 60729, 64546, 66852, 67023, 67792, 71334, 71413, 72730, 72939, 73009, 73478, 75677, 75684, 75953, 76087, 76652, 76714, 80114, 80864, 80981, 81537, 83068, 84134, 86152, 88029]"
11375,Movie,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']","['CyberConnect2', 'Anima']",['Video Game'],[],Game,PG-13 - Teens 13 or older,1.0,winter,7.04,19378,4,8,"[11757, 11759, 3561, 2952, 5681, 1303, 5998]","[2941, 3158, 3449, 5235, 7126, 9319, 9326, 11711, 15839, 17641, 28891, 62010, 80981, 85753]"
58985,TV,"['Adventure', 'Fantasy']",[],"['Isekai', 'Reincarnation']",[],Manga,PG-13 - Teens 13 or older,12.0,summer,5.43,12263,2,11,"[53590, 50265, 39468]","[36539, 75335]"
29978,ONA,['Comedy'],[],[],[],Original,G - All Ages,1.0,winter,3.36,16265,0,0,"[38763, 28761, 35330, 33859, 16774, 32894, 16436]",[36804]
11755,Movie,"['Action', 'Adventure', 'Sci-Fi']","['Production I.G', 'SANZIGEN']",['Mecha'],[],Manga,PG-13 - Teens 13 or older,1.0,fall,6.43,21291,9,3,"[801, 9629, 41750, 13391, 43, 2202, 420, 1301]","[203, 833, 2478, 5304, 5316, 5348, 7454, 8102, 8267, 9198, 10165, 12330, 20016, 21809, 40462, 41569, 42237, 42313, 46219, 48874, 51987, 52139, 52145, 62929]"
28761,Movie,['Avant Garde'],[],[],[],Original,G - All Ages,1.0,spring,4.95,10347,0,0,"[29943, 31687, 9990, 28339, 29978, 23061, 44059, 28085, 48971, 41797, 29629, 5299, 21041, 29770, 34422, 21861, 40171, 48961]","[6065, 36803, 48835]"
34052,TV,['Comedy'],['OLM'],[],['Kids'],Manga,PG - Children,36.0,spring,5.74,3339,3,5,"[9624, 39196, 727]","[2797, 36690, 36941, 55297, 61613, 63697, 65390, 65434, 65533, 66752, 69509, 69945, 74159, 76723, 76842, 78634, 78832, 82196, 83772, 85087]"
39208,Special,[],[],['Music'],[],Original,G - All Ages,1.0,winter,5.58,817,0,0,"[57110, 43775, 35981]",[46081]
41380,TV,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Maho Film'],['Isekai'],['Shounen'],Manga,PG-13 - Teens 13 or older,12.0,fall,6.52,324016,4,7,"[31859, 30831, 11757, 384, 53446, 11887, 36882, 44524, 6547, 44881, 52830, 34497, 38573, 41456, 38656, 51128, 31240, 17265, 38449, 38735, 50184, 35790]","[2400, 9470, 9826, 12845, 14271, 14787, 24955, 25573, 26639, 31213, 33181, 33207, 34179, 39552, 39553, 40430, 40875, 41459, 41546, 44847, 48456, 48588, 48843, 50854, 50855, 50856, 50857, 50858, 52934, 53290, 61943, 62894, 63456, 63623, 63882, 64868, 66888, 66899, 67137, 68690, 69189, 76240, 77182, 78102, 80336, 87485]"
44881,TV,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Maho Film'],['Isekai'],['Shounen'],Manga,PG-13 - Teens 13 or older,12.0,summer,6.79,182088,4,20,[41380],"[2400, 5650, 9470, 9826, 14271, 14787, 24955, 25573, 26639, 31213, 33181, 33207, 34179, 39552, 40875, 41001, 41459, 41546, 44847, 48588, 50854, 50855, 50856, 51554, 55578, 55660, 61943, 62894, 63456, 63623, 63882, 64809, 65254, 66899, 67137, 67404, 67778, 71315, 74405, 75384, 76620, 77182, 78102, 80336, 80353, 80384, 80398, 87485, 88256]"
7739,Special,"['Action', 'Supernatural', 'Ecchi']",['Doga Kobo'],"['Harem', 'Super Power']",[],Visual novel,R+ - Mild Nudity,1.0,summer,6.0,41866,7,7,"[10934, 9515, 8675]","[8304, 8946]"
23579,OVA,['Romance'],"['SynergySP', 'Ascension']",['School'],['Shoujo'],Manga,PG - Children,8.0,spring,6.24,14741,4,3,"[6586, 74, 3641, 1486]","[4084, 8186, 10950, 24147, 37032, 47808, 68865]"
32601,TV,['Romance'],['OLM'],['School'],['Shoujo'],Manga,PG - Children,12.0,spring,6.4,37364,4,4,"[1486, 3641, 28297, 6045, 30014, 41389, 1040, 35078, 74]","[4084, 7412, 8146, 8211, 10950, 12212, 17853, 19924, 24801, 25471, 25473, 31279, 37027, 40912, 41143, 41144, 41145, 41146, 41250, 48365, 50854, 51729, 53775, 54975, 61943, 63415, 64372, 65091, 65390, 65434, 65533, 67159, 67238, 68483, 69509, 70030, 70124, 70133, 70976, 70980, 71024, 73218, 74070, 76662, 76721, 76723, 76782, 77020, 77240, 79307, 80000, 82794, 83285, 85335]"
54041,TV,['Comedy'],['Silver'],"['Adult Cast', 'Otaku Culture', 'Time Travel', 'Workplace']",[],Web manga,PG-13 - Teens 13 or older,13.0,fall,6.89,60069,3,24,"[40904, 31953, 23277, 57663, 43693, 9253, 8525, 21877, 34051, 25835, 42249, 35427]","[896, 1883, 5076, 5110, 5347, 5724, 6203, 6549, 7136, 7192, 8146, 9160, 9447, 11746, 14031, 14641, 16707, 19291, 20066, 23809, 33491, 34473, 38369, 39257, 40787, 41227, 41328, 42213, 48177, 51366, 63456, 63463, 63645, 64371, 65001, 67447, 68071, 68072, 68073, 70949, 71315, 73287, 74133, 75113, 75987, 75993, 76112, 76267, 76616, 76623, 77182, 77268, 78200, 79778, 80827, 81517, 82665, 82702, 85304, 86146, 88984, 88985, 88986, 88987, 89466, 89726]"
48858,TV,['Slice of Life'],"['EKACHI EPILKA', 'Indivision']",[],[],Original,PG-13 - Teens 13 or older,12.0,fall,5.3,39286,3,4,"[52381, 44583, 7897]","[39396, 51730, 52942, 54867, 61644, 80325]"
35248,TV,"['Mystery', 'Supernatural']",['Gonzo'],[],[],Mixed media,R - 17+ (violence & profanity),13.0,summer,6.11,59841,3,16,"[28223, 40046, 1943, 2246, 5081, 11285, 9756, 27775, 3701, 8525, 43299, 32979, 34550, 2596, 3420, 14075]","[203, 360, 5066, 5316, 7194, 10046, 10165, 10249, 10989, 11134, 11297, 14339, 14409, 15929, 17227, 17991, 18249, 21243, 21511, 25479, 26757, 30805, 33181, 37416, 38366, 39698, 41196, 44503, 45781, 46209, 46726, 46793, 47114, 47541, 47682, 47939, 48084, 49237, 49972, 50627, 50660, 51619, 53817, 54513, 54963, 55704, 58186, 58406, 61594, 61772, 61848, 61919, 65072, 65409, 67778, 68690, 68922, 69094, 69372, 70166, 70167, 70168, 70169, 70170, 70171, 71241, 73029, 74919, 75740, 75745, 76476, 78249, 78295, 79145, 80406, 81523, 83391, 88341]"
