mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco
1,7.65660606060606,9.29,3.75,527752.9151515152,4230312.0,465.0
5,7.325,7.93,5.93,121706.5,287182.0,10881.0
6,7.702833333333333,9.29,6.07,637135.6833333333,4230312.0,4650.0
7,7.450952380952381,8.42,6.17,437036.61904761905,2984661.0,29228.0
8,7.578,8.43,6.45,474990.2,1620668.0,23838.0
15,7.810625,8.78,6.62,364161.34375,2581334.0,4342.0
16,7.761827956989247,8.93,5.1,484467.51612903224,2525565.0,1773.0
17,7.962105263157895,8.78,7.15,425004.5263157895,2581334.0,15681.0
18,7.763333333333333,8.29,7.49,169366.66666666666,412705.0,46238.0
19,7.716842105263157,9.1,4.67,640017.1578947369,4170767.0,3624.0
20,7.571111111111112,9.1,5.67,802554.7857142857,4230312.0,1146.0
21,7.78006993006993,9.1,5.43,860737.1048951049,4230312.0,859.0
22,7.7097435897435895,8.78,6.44,350966.8461538461,2115206.0,4342.0
23,7.8933333333333335,8.34,7.58,126914.0,200349.0,74019.0
24,7.502242990654206,9.02,5.51,491358.4859813084,2318129.0,6443.0
25,7.586551724137931,8.75,6.37,422945.6896551724,1999997.0,7086.0
26,7.6628169014084495,9.1,5.8,638614.7746478873,4170767.0,9719.0
27,7.461578947368421,8.75,6.31,661564.0263157894,3430848.0,17836.0
28,7.536285714285714,9.03,5.66,483932.4857142857,3080867.0,2914.0
29,7.890000000000001,9.07,6.28,806001.7727272727,4170767.0,3046.0
30,7.420100334448161,9.29,1.89,509125.73,4230312.0,164.0
31,7.09,8.17,6.01,96808.0,188204.0,5412.0
32,7.765438596491228,8.86,2.01,568104.6842105263,4230312.0,12021.0
33,7.574159292035398,9.1,5.2,631012.3451327434,4230312.0,4007.0
43,7.16641975308642,8.75,2.23,325553.56790123455,4170767.0,1072.0
44,7.692749999999999,9.1,5.54,624261.45,3576199.0,3140.0
45,7.629305555555555,9.1,4.55,593109.3194444445,3576199.0,2385.0
46,5.67,6.61,4.73,6806.5,8195.0,5418.0
47,7.269292929292929,8.77,3.48,451462.38383838383,4230312.0,330.0
48,7.414615384615385,9.1,5.85,650183.2564102564,3576199.0,17759.0
49,7.45375,8.69,6.53,588411.25,2096852.0,17702.0
50,7.220892857142857,8.47,5.76,279828.10714285716,2096852.0,2971.0
51,6.858055555555556,8.09,5.16,314913.1666666667,1723784.0,3700.0
52,7.27829268292683,8.46,5.95,219190.24390243902,1296899.0,4590.0
53,7.264418604651163,8.2,6.3,327697.20930232556,1528892.0,27924.0
54,7.093076923076922,8.33,5.99,251861.84615384616,1717695.0,2356.0
55,6.965,8.11,6.15,250713.875,1532453.0,7597.0
56,7.025833333333334,7.9,5.27,168534.33333333334,709008.0,10287.0
57,7.763692307692308,8.78,6.04,394088.6307692308,2359308.0,5367.0
58,7.21304347826087,8.91,5.34,370797.95652173914,4230312.0,5921.0
59,7.153068181818182,8.42,5.46,297277.0681818182,1586312.0,3008.0
60,7.479322033898304,9.1,6.29,682710.0677966102,4170767.0,7480.0
61,7.386818181818182,8.28,5.97,353302.61363636365,3035328.0,11799.0
62,6.952258064516129,8.93,5.51,312328.4516129032,1480574.0,16850.0
63,6.989393939393939,8.05,5.6,308118.3939393939,1586312.0,10507.0
64,7.216792452830189,8.38,6.03,417505.7358490566,2100581.0,8111.0
65,7.244285714285715,8.13,6.66,666068.7142857143,1878751.0,56606.0
66,7.369905660377359,8.93,5.72,308217.0,2318129.0,5508.0
67,7.382127659574468,8.71,6.06,506146.6382978723,3035328.0,3446.0
68,7.496507936507936,8.75,6.03,661860.7936507936,4170767.0,17475.0
69,7.2780000000000005,7.55,6.99,185642.8,456340.0,44643.0
71,7.551208791208791,9.1,6.04,526752.4835164836,3576199.0,10793.0
72,7.5154,8.93,5.73,492305.58,2164124.0,5751.0
73,7.871538461538462,8.71,7.15,543524.6153846154,2401830.0,91578.0
74,7.358591549295775,8.44,6.02,375980.4366197183,3212739.0,5173.0
75,7.2537931034482765,8.56,5.27,340300.4827586207,1962199.0,10287.0
76,7.12156862745098,8.38,5.52,324945.03921568627,3212739.0,5767.0
77,7.412727272727273,8.38,6.63,318438.8181818182,1372633.0,12462.0
79,7.035625,8.93,5.51,469201.4375,4170767.0,7659.0
80,7.3832432432432435,9.02,5.98,410522.54054054053,4230312.0,2034.0
81,7.394,8.75,5.95,430379.06666666665,4230312.0,6075.0
82,7.901818181818182,8.77,5.67,626020.4545454546,1962199.0,2232.0
84,7.684444444444444,9.02,7.12,144472.77777777778,350634.0,25535.0
85,7.647931034482759,9.02,6.44,413547.5862068966,4230312.0,15906.0
86,6.697142857142857,8.09,5.44,105561.14285714286,546400.0,2113.0
87,7.713333333333333,9.02,5.43,593156.8095238095,4170767.0,8721.0
88,6.7,7.12,6.28,20988.0,25535.0,16441.0
89,7.675,8.36,7.09,522477.1666666667,1962199.0,20316.0
90,7.767837837837838,9.1,6.44,740047.2702702703,4170767.0,18543.0
91,7.98,7.98,7.98,2134926.0,2134926.0,2134926.0
92,7.559,8.71,6.2,397623.45,2401830.0,6383.0
93,7.557413793103448,9.1,6.2,403659.4655172414,3576199.0,5842.0
94,7.589629629629631,8.71,6.9,562739.2962962963,4170767.0,11091.0
95,7.625384615384615,9.1,6.17,376765.23076923075,3576199.0,2957.0
96,7.4245283018867925,8.78,5.29,358985.1509433962,2668197.0,3949.0
97,7.450212765957447,8.75,6.07,306564.3829787234,2401830.0,6664.0
98,7.087826086956522,8.71,5.28,341082.3188405797,2401830.0,7610.0
99,7.328888888888889,8.14,6.35,177319.59259259258,695608.0,10375.0
100,7.180681818181818,8.38,5.57,183501.86363636365,1372633.0,12031.0
101,7.331111111111111,8.93,5.04,411378.5138888889,2359308.0,4762.0
102,7.599473684210527,8.93,6.53,456463.8947368421,2318129.0,7974.0
103,7.422413793103448,8.18,6.37,167282.27586206896,1201583.0,2051.0
104,7.270384615384615,8.89,6.0,355233.07692307694,1586312.0,7753.0
105,7.18076923076923,7.99,6.12,345933.23076923075,1480574.0,10385.0
106,7.378064516129032,8.57,5.27,316416.0967741936,1314178.0,2368.0
107,7.652,8.65,5.97,747957.1333333333,3035328.0,15187.0
108,7.43,7.43,7.43,15187.0,15187.0,15187.0
109,7.451052631578947,8.64,6.26,422273.7894736842,1962199.0,17002.0
110,7.3629999999999995,8.12,6.16,237995.3,1720151.0,937.0
111,7.226999999999999,8.18,6.51,153850.4,475588.0,2492.0
112,5.74,6.03,5.45,125984.5,244559.0,7410.0
113,7.197826086956522,8.64,6.28,190361.95652173914,1719364.0,6574.0
114,7.453833333333334,9.02,5.45,299968.9,1319137.0,2724.0
115,7.51,7.51,7.51,237489.0,237489.0,237489.0
116,7.0183333333333335,7.83,5.67,84995.5,237489.0,1754.0
117,6.626,7.72,3.32,65679.3,212160.0,3832.0
118,7.035,7.65,6.42,124068.5,172673.0,75464.0
119,6.6475,7.65,5.72,145552.16666666666,671358.0,8690.0
120,7.3671544715447155,8.9,5.18,327057.18699186994,2318129.0,3352.0
121,7.764485981308411,9.1,5.35,847306.644859813,4230312.0,6367.0
122,7.434383561643836,8.75,6.1,300193.7397260274,2359308.0,2666.0
123,7.2508928571428575,8.22,5.58,225696.10714285713,1816496.0,5142.0
124,7.4350000000000005,7.72,7.15,52418.0,67759.0,37077.0
125,7.075,7.99,6.38,511968.5,1480574.0,22801.0
126,7.281538461538461,8.35,6.37,343098.6923076923,962019.0,14846.0
127,7.284000000000001,8.49,6.58,588542.2,2247855.0,16403.0
128,7.242,8.38,5.46,417516.2,1372633.0,4016.0
129,7.662999999999999,9.07,6.34,763798.8,3080867.0,4177.0
130,8.07,8.22,7.98,1653064.6666666667,3035328.0,812035.0
131,6.97,6.97,6.97,14924.0,14924.0,14924.0
132,7.6207692307692305,9.03,6.32,534693.358974359,3080867.0,13186.0
133,6.7908333333333335,8.04,5.42,289569.02777777775,1505271.0,6804.0
134,7.564745762711865,8.89,5.86,553422.9152542372,1962199.0,19881.0
135,7.758392857142857,9.1,6.05,507206.8214285714,4170767.0,666.0
136,7.730862068965517,9.1,6.12,904871.3793103448,4170767.0,3954.0
137,8.54,8.62,8.46,2453468.0,4170767.0,736169.0
138,7.183333333333334,8.18,6.48,700509.0,3232300.0,10644.0
139,7.566666666666666,7.98,7.22,1929086.6666666667,3232300.0,420034.0
141,7.32625,8.36,6.35,443525.125,1962199.0,25669.0
142,7.302972972972972,8.53,5.39,249440.94594594595,2880058.0,4860.0
143,7.022083333333334,8.91,6.13,295876.4166666667,2164124.0,4241.0
144,7.4025,8.93,6.64,671846.875,1586312.0,147864.0
145,7.732333333333333,8.74,6.38,556074.5833333334,2318129.0,25129.0
146,7.237916666666667,8.67,6.31,412241.9166666667,1962199.0,11343.0
147,7.196000000000001,8.93,5.51,372176.68,1679420.0,3545.0
148,6.926,7.98,6.38,86456.4,280956.0,5165.0
149,7.1332258064516125,8.27,5.41,287691.3870967742,1250744.0,7480.0
150,7.350246913580247,8.89,5.03,539638.1111111111,3323322.0,9056.0
151,7.39,8.04,5.68,369647.3333333333,1812885.0,7967.0
152,7.414736842105263,8.93,6.2,290852.05263157893,1258509.0,20730.0
153,7.649444444444445,9.02,6.05,378181.5833333333,1962199.0,6960.0
154,7.5534042553191485,9.03,5.83,752631.085106383,3080867.0,6680.0
155,6.656000000000001,8.53,5.38,112269.1,740319.0,1730.0
156,7.4547058823529415,9.1,5.22,611037.4117647059,4170767.0,2759.0
157,7.072272727272727,7.85,6.35,332979.2272727273,1723784.0,16712.0
158,7.1272,8.23,6.21,142592.44,546400.0,3885.0
159,7.569999999999999,8.38,6.31,531308.3846153846,1962199.0,11343.0
160,7.572222222222222,8.89,5.98,509545.537037037,4230312.0,6664.0
161,7.53421052631579,8.93,5.8,632284.5263157894,3323322.0,3566.0
162,7.385555555555555,7.94,6.83,387679.77777777775,1302351.0,16047.0
163,6.8100000000000005,7.17,6.45,43533.0,51997.0,35069.0
