mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco,watching_mean,watching_max,watching_min,completed_mean,completed_max,completed_min,on_hold_mean,on_hold_max,on_hold_min,dropped_mean,dropped_max,dropped_min,plan_to_watch_mean,plan_to_watch_max,plan_to_watch_min,total_mean,total_max,total_min
1,7.65660606060606,9.29,3.75,527752.9151515152,4230312.0,465.0,44315.375757575755,1838015.0,17.0,336582.8606060606,3716436.0,14.0,17985.163636363635,308583.0,6.0,15260.169696969697,206070.0,21.0,113652.84242424242,687110.0,139.0,527796.4121212121,4230824.0,465.0
5,7.325,7.93,5.93,121706.5,287182.0,10881.0,3033.2,5932.0,416.0,76073.3,196913.0,4359.0,1610.9,5634.0,178.0,1280.5,6465.0,144.0,39716.7,82728.0,4934.0,121714.6,287212.0,10883.0
6,7.702833333333333,9.29,6.07,637135.6833333333,4230312.0,4650.0,64654.833333333336,1838015.0,306.0,394036.95,3716436.0,14.0,26325.65,308583.0,211.0,21059.841666666667,220647.0,259.0,131122.10833333334,529859.0,1845.0,637199.3833333333,4230824.0,4650.0
7,7.450952380952381,8.42,6.17,437036.61904761905,2984661.0,29228.0,24260.190476190477,116084.0,1628.0,264089.35714285716,2525762.0,7061.0,14781.047619047618,75059.0,960.0,14457.02380952381,62827.0,753.0,119487.33333333333,484134.0,7347.0,437074.95238095237,2984930.0,29229.0
8,7.578,8.43,6.45,474990.2,1620668.0,23838.0,29179.9,88145.0,1059.0,337129.7,1318795.0,12981.0,18621.4,77045.0,1081.0,18189.3,62773.0,1187.0,71914.3,185156.0,7302.0,475034.6,1620858.0,23840.0
15,7.810625,8.78,6.62,364161.34375,2581334.0,4342.0,75684.46875,1838015.0,221.0,194781.25,1645597.0,14.0,19479.34375,308583.0,149.0,15983.6875,206070.0,256.0,58263.34375,235182.0,1025.0,364192.09375,2581610.0,4342.0
16,7.761827956989247,8.93,5.1,484467.51612903224,2525565.0,1773.0,27610.032258064515,213772.0,82.0,295849.34408602153,2172455.0,882.0,15744.827956989247,128020.0,29.0,14557.956989247312,71838.0,84.0,130740.3870967742,403435.0,696.0,484502.5483870968,2525909.0,1773.0
17,7.962105263157895,8.78,7.15,425004.5263157895,2581334.0,15681.0,117660.31578947368,1838015.0,793.0,188602.73684210525,970151.0,14.0,27668.736842105263,308583.0,583.0,19820.947368421053,206070.0,764.0,71283.15789473684,251013.0,4252.0,425035.8947368421,2581610.0,15682.0
18,7.763333333333333,8.29,7.49,169366.66666666666,412705.0,46238.0,6516.0,9770.0,4189.0,101895.0,272012.0,12032.0,2932.6666666666665,3151.0,2773.0,2403.6666666666665,2949.0,1321.0,55623.666666666664,126829.0,16108.0,169371.0,412705.0,46247.0
19,7.716842105263157,9.1,4.67,640017.1578947369,4170767.0,3624.0,39529.68421052631,375910.0,122.0,416714.1278195489,3474406.0,2.0,19708.714285714286,148406.0,49.0,17407.30827067669,126242.0,83.0,146706.4812030075,687110.0,1405.0,640066.3157894737,4171073.0,3624.0
20,7.571111111111112,9.1,5.67,802554.7857142857,4230312.0,1146.0,77602.46825396825,1838015.0,67.0,541032.4523809524,3716436.0,1.0,30690.70634920635,308583.0,26.0,31779.61111111111,237819.0,78.0,121517.44444444444,529859.0,428.0,802622.6825396825,4230824.0,1146.0
21,7.78006993006993,9.1,5.43,860737.1048951049,4230312.0,859.0,65820.98601398601,507711.0,61.0,602413.9370629371,3716436.0,2.0,30317.601398601397,195339.0,35.0,31065.86013986014,220647.0,139.0,131189.6783216783,529859.0,381.0,860808.0629370629,4230824.0,860.0
22,7.7097435897435895,8.78,6.44,350966.8461538461,2115206.0,4342.0,21497.666666666668,131865.0,292.0,245317.5128205128,1645597.0,1703.0,12000.589743589744,54600.0,149.0,12001.102564102564,53199.0,256.0,60176.51282051282,235182.0,1504.0,350993.3846153846,2115438.0,4342.0
23,7.8933333333333335,8.34,7.58,126914.0,200349.0,74019.0,9202.333333333334,14089.0,4141.0,68717.0,126860.0,29582.0,6412.333333333333,10304.0,3224.0,5329.333333333333,10192.0,2130.0,37266.333333333336,58061.0,14815.0,126927.33333333333,200368.0,74019.0
24,7.502242990654206,9.02,5.51,491358.4859813084,2318129.0,6443.0,32712.40186915888,366847.0,388.0,310267.4205607477,1776440.0,2210.0,19211.07476635514,195339.0,146.0,19748.252336448597,220647.0,150.0,109460.08411214953,377913.0,2944.0,491399.2336448598,2318129.0,6446.0
25,7.586551724137931,8.75,6.37,422945.6896551724,1999997.0,7086.0,27147.44827586207,185361.0,376.0,251736.10344827586,1160466.0,3186.0,17361.03448275862,113625.0,266.0,13391.0,60385.0,291.0,113357.58620689655,493291.0,2893.0,422993.1724137931,2000255.0,7086.0
26,7.6628169014084495,9.1,5.8,638614.7746478873,4170767.0,9719.0,41288.01408450704,278645.0,459.0,400784.88732394367,3474406.0,3181.0,21727.718309859156,118574.0,161.0,17859.802816901407,126242.0,138.0,157013.52112676058,687110.0,4015.0,638673.9436619718,4171073.0,9721.0
27,7.461578947368421,8.75,6.31,661564.0263157894,3430848.0,17836.0,43322.31578947369,366847.0,842.0,439286.0,2998253.0,6823.0,25786.657894736843,195339.0,283.0,25354.263157894737,220647.0,380.0,127873.44736842105,493291.0,6205.0,661622.6842105263,3431091.0,17838.0
