person_mal_id,mean_score_staff,mean_members_staff,count_anime_staff
1,6.696666666666667,86845.2,15
2,7.002941176470588,222997.9411764706,17
3,6.696000000000001,54737.4,5
4,7.008214285714286,322899.85714285716,28
5,7.111944444444443,138073.44444444444,36
6,6.268823529411765,27333.647058823528,17
8,6.951162790697674,205434.27906976745,43
9,7.345999999999999,140197.3,10
11,6.751666666666666,13607.833333333334,6
12,7.378571428571428,567255.2857142857,7
13,6.869545454545454,48701.5,22
14,7.094081632653062,108092.5306122449,49
15,7.20090909090909,145535.36363636365,11
16,7.145,162013.5,2
17,6.963333333333334,114676.33333333333,3
19,7.098888888888889,175045.77777777778,9
20,6.93625,184375.17647058822,17
21,6.703636363636363,41661.63636363636,11
22,7.052499999999999,92141.41666666667,12
24,7.343125,81476.625,16
25,7.298571428571428,161559.0,14
27,6.993695652173913,128448.69565217392,46
28,7.016666666666667,170728.98571428572,70
29,6.468333333333334,39147.333333333336,12
30,7.275,80972.0,16
31,7.003888888888889,130356.83333333333,18
32,7.285454545454545,193680.81818181818,11
34,6.940555555555555,122743.77777777778,18
36,7.069583333333333,288989.5,24
38,7.063333333333333,55092.666666666664,3
40,7.082121212121212,90196.75757575757,33
43,7.44875,764898.0,8
44,6.5616666666666665,34139.083333333336,12
46,6.5566666666666675,11783.666666666666,3
47,7.12875,34254.0,8
49,6.49,9326.0,1
50,6.77,3497.5,2
51,6.839166666666666,140201.5,12
52,7.275263157894736,323637.3157894737,19
53,7.0056,219258.1568627451,51
54,7.331818181818182,174325.9090909091,11
56,7.830000000000001,681540.6666666666,3
57,6.968999999999999,70880.5,10
58,7.023333333333333,38443.22222222222,9
60,6.895833333333333,86641.33333333333,24
61,7.21111111111111,212386.07407407407,27
62,7.296666666666667,53857.72222222222,18
63,5.8775,119408.5,8
64,7.397142857142858,92130.71428571429,14
65,7.076666666666666,136665.914893617,47
66,6.767142857142857,17379.14285714286,7
67,7.77,139045.0,2
68,7.12,76559.75,4
70,7.045263157894736,90592.78947368421,19
